Stock Price,Price Change,Percentage Change,Timestamp
117.56,-3.89,(-3.20%),2024-10-01 11:30:35
117.58,-3.86,(-3.17%),2024-10-01 11:30:37
117.58,-3.86,(-3.18%),2024-10-01 11:30:38
117.58,-3.86,(-3.18%),2024-10-01 11:30:39
117.57,-3.87,(-3.19%),2024-10-01 11:30:40
117.58,-3.86,(-3.18%),2024-10-01 11:30:41
117.58,-3.86,(-3.18%),2024-10-01 11:30:42
117.57,-3.87,(-3.19%),2024-10-01 11:30:44
117.57,-3.87,(-3.19%),2024-10-01 11:30:45
117.54,-3.90,(-3.21%),2024-10-01 11:30:46
117.53,-3.91,(-3.22%),2024-10-01 11:30:47
117.54,-3.90,(-3.22%),2024-10-01 11:30:48
117.54,-3.90,(-3.21%),2024-10-01 11:30:49
117.54,-3.90,(-3.21%),2024-10-01 11:30:50
117.54,-3.90,(-3.21%),2024-10-01 11:30:51
117.54,-3.90,(-3.21%),2024-10-01 11:30:53
117.53,-3.91,(-3.22%),2024-10-01 11:30:54
117.53,-3.91,(-3.22%),2024-10-01 11:30:55
117.55,-3.89,(-3.21%),2024-10-01 11:30:56
117.55,-3.89,(-3.20%),2024-10-01 11:30:57
117.54,-3.90,(-3.21%),2024-10-01 11:30:58
117.54,-3.90,(-3.21%),2024-10-01 11:30:59
117.54,-3.90,(-3.22%),2024-10-01 11:31:00
117.54,-3.90,(-3.21%),2024-10-01 11:31:01
117.51,-3.94,(-3.24%),2024-10-01 11:31:02
117.49,-3.96,(-3.26%),2024-10-01 11:31:03
117.47,-3.97,(-3.27%),2024-10-01 11:31:04
117.47,-3.97,(-3.27%),2024-10-01 11:31:05
117.48,-3.96,(-3.26%),2024-10-01 11:31:07
117.47,-3.97,(-3.27%),2024-10-01 11:31:08
117.48,-3.96,(-3.26%),2024-10-01 11:31:09
117.47,-3.97,(-3.26%),2024-10-01 11:31:10
117.48,-3.96,(-3.26%),2024-10-01 11:31:11
117.48,-3.96,(-3.26%),2024-10-01 11:31:12
117.47,-3.97,(-3.26%),2024-10-01 11:31:13
117.44,-4.00,(-3.29%),2024-10-01 11:31:14
117.44,-4.00,(-3.29%),2024-10-01 11:31:15
117.44,-4.00,(-3.29%),2024-10-01 11:31:16
117.44,-4.00,(-3.29%),2024-10-01 11:31:17
117.41,-4.03,(-3.32%),2024-10-01 11:31:18
117.45,-3.99,(-3.29%),2024-10-01 11:31:19
117.44,-4.00,(-3.29%),2024-10-01 11:31:20
117.44,-4.00,(-3.29%),2024-10-01 11:31:21
117.44,-4.00,(-3.29%),2024-10-01 11:31:23
117.44,-4.00,(-3.29%),2024-10-01 11:31:24
117.43,-4.01,(-3.30%),2024-10-01 11:31:25
117.43,-4.01,(-3.30%),2024-10-01 11:31:26
117.42,-4.02,(-3.31%),2024-10-01 11:31:27
117.43,-4.01,(-3.30%),2024-10-01 11:31:28
117.43,-4.01,(-3.30%),2024-10-01 11:31:29
117.42,-4.02,(-3.31%),2024-10-01 11:31:30
117.42,-4.02,(-3.31%),2024-10-01 11:31:31
117.44,-4.00,(-3.29%),2024-10-01 11:31:32
117.44,-4.00,(-3.29%),2024-10-01 11:31:33
117.45,-3.99,(-3.29%),2024-10-01 11:31:34
117.45,-3.99,(-3.29%),2024-10-01 11:31:35
117.47,-3.97,(-3.26%),2024-10-01 11:31:36
117.47,-3.97,(-3.27%),2024-10-01 11:31:37
117.47,-3.97,(-3.27%),2024-10-01 11:31:38
117.48,-3.96,(-3.26%),2024-10-01 11:31:40
117.47,-3.97,(-3.27%),2024-10-01 11:31:41
117.45,-3.99,(-3.29%),2024-10-01 11:31:42
117.45,-3.99,(-3.29%),2024-10-01 11:31:43
117.45,-3.99,(-3.29%),2024-10-01 11:31:44
117.46,-3.98,(-3.28%),2024-10-01 11:31:45
117.46,-3.99,(-3.28%),2024-10-01 11:31:46
117.45,-3.99,(-3.28%),2024-10-01 11:31:47
117.43,-4.01,(-3.30%),2024-10-01 11:31:48
117.44,-4.00,(-3.29%),2024-10-01 11:31:49
117.46,-3.98,(-3.27%),2024-10-01 11:31:50
117.48,-3.96,(-3.26%),2024-10-01 11:31:51
117.46,-3.98,(-3.28%),2024-10-01 11:31:52
117.48,-3.96,(-3.24%),2024-10-01 11:31:53
117.55,-3.89,(-3.20%),2024-10-01 11:31:54
117.54,-3.90,(-3.21%),2024-10-01 11:31:56
117.54,-3.90,(-3.21%),2024-10-01 11:31:57
117.53,-3.91,(-3.22%),2024-10-01 11:31:58
117.51,-3.93,(-3.24%),2024-10-01 11:31:59
